level_id,brand,brand_label,parent_level_id,level_number
1148,吕,JK Brand,1146,3
1156,潘婷,International Brand,1154,3
1177,WATSONS,Local Brand,1170,3
1183,自然堂,Local Brand,1170,3
1141,薇姿,Premium Brand,1121,3
1152,卡蓓诺,JK Brand,1146,3
1144,馥绿德雅,Premium Brand,1121,3
1161,欧莱雅,International Brand,1154,3
1157,施华蔻,International Brand,1154,3
1178,NATURAL BALANCE,Local Brand,1170,3
1175,诗裴丝,Local Brand,1170,3
1169,贝赫,International Brand,1154,3
1143,Luis Kraemer,Premium Brand,1121,3
1159,多芬,International Brand,1154,3
1162,欧倍青,International Brand,1154,3
1155,海飞丝,International Brand,1154,3
1171,滋源,Local Brand,1170,3
1179,一叶子,Local Brand,1170,3
1174,极方,Local Brand,1170,3
1185,阿道夫,Local Brand,1170,3
1158,沙宣,International Brand,1154,3
1176,屈臣氏,Local Brand,1170,3
1145,康如,Premium Brand,1121,3
1167,潇洒,International Brand,1154,3
1150,芬浓,JK Brand,1146,3
1163,施华蔻赋芮,International Brand,1154,3
1184,若也,Local Brand,1170,3
1153,五十惠,JK Brand,1146,3
1172,三生花,Local Brand,1170,3
1166,澳媛,International Brand,1154,3
1181,且初,Local Brand,1170,3
1149,丝蓓绮,JK Brand,1146,3
1180,KEEP Y,Local Brand,1170,3
1168,力士,International Brand,1154,3
1160,清扬,International Brand,1154,3
1165,丝蕴,International Brand,1154,3
1151,水之密语,JK Brand,1146,3
1182,Befe,Local Brand,1170,3
1142,沃嘉丝,Premium Brand,1121,3
1173,蔻斯汀,Local Brand,1170,3
1164,发之食谱,International Brand,1154,3
1147,惠润,JK Brand,1146,3
1205,安蒂花子,JK Brand,1146,3
1203,缕灵,Premium Brand,1121,3
1207,柔诺伊,JK Brand,1146,3
1206,摩美植丽,JK Brand,1146,3
1204,OFF&amp;RELAX,Premium Brand,1121,3
1186,巴黎欧莱雅Pro,International Brand,1154,3
1122,卡诗,Premium Brand,1121,3
